,year,congress,party,district,statenam,name,ngirls,nboys,totchi,anygirls,propgirls,rgroup,statabb,statalph,region,repub,srvlng,female,white,bday,age,demvote,medinc,perf,perw,perhs,percol,perur,alabort,moreserv,moredef,morecrimesp,protgay,dr1per,dr2per,dr3per,dr4per,dr5per,aauw,rtl,nowtot,now1,now2,now3,now4,now5,now6,now7,now8,now9,now10,now11,now12,now13,now14,now15,now16,now17,now18,now19,now20
1019,2001-2002,107,2,8,WISCONS,"GREEN, MARK",2,1,3,1,0.666666687,2,WI,50,3,1,3,0,1,6/1/1960,40,0.458333343,33172,0.51606065,0.960176945,0.784000039,0.148000002,0.556254625,0.379061371,0.275423735,0.159695819,0.475177318,0.709219873,0.5,0.280000001,0,0.02,0.200000003,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1020,2001-2002,107,2,8,PENNSYL,"GREENWOOD, JIM",2,1,3,1,0.666666687,1,PA,39,2,1,9,0,1,5/4/1951,49,0.520833313,18998,0.51482147,0.950034201,0.831999958,0.251000017,0.818380415,0.423664123,0.419689119,0.172131151,0.475655437,0.673076928,0.479999989,0.270000011,0.01,0.059999999,0.180000007,36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1021,2001-2002,107,2,1,NEW YOR,"GRUCCI, FELIX",1,1,2,1,0.5,2,NY,33,2,1,1,0,1,11/25/1951,49,0.547368407,50313,0.519095123,0.930188954,0.823000014,0.227999985,0.921378553,0.568807364,0.472647697,0.170923382,0.588550985,0.705128193,0.300000012,0.379999995,0,0.119999997,0.189999998,9,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1022,2001-2002,107,1,4,ILLINOI,"GUTIERREZ, LUIS V.",2,0,2,1,1,2,IL,14,3,0,9,0,0,12/10/1953,47,0.8125,25285,0.486895591,0.485956997,0.465000004,0.083999999,0.999356091,0.445736438,0.427884609,0.200787395,0.661596954,0.678571403,0.460000008,0.289999992,0,0.059999999,0.189999998,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1023,2001-2002,107,2,1,MINNESO,"GUTKNECHT, GILBERT",2,1,3,1,0.666666687,2,MN,24,4,1,7,0,1,3/20/1951,49,0.489361703,34403,0.517722785,0.978425145,0.796999991,0.182999998,0.521442294,0.360544205,0.300813019,0.184668988,0.524590135,0.608974338,0.50999999,0.25,0.01,0.029999999,0.200000003,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024,2001-2002,107,1,4,TEXAS,"HALL, RALPH M.",0,3,3,0,0,1,TX,44,7,0,21,0,1,5/3/1923,77,0.280000001,32013,0.525507152,0.88347578,0.736999989,0.162999988,0.512227654,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,9,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1025,2001-2002,107,1,3,OHIO,"HALL, TONY PATRICK",1,0,1,1,1,1,OH,36,3,0,23,0,1,1/16/1942,59,0.515463889,36045,0.532254398,0.806901693,0.778000057,0.201000005,0.95408839,0.380597025,0.365079373,0.195744678,0.54411763,0.590062141,0.540000021,0.189999998,0.01,0.059999999,0.200000003,55,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1026,2001-2002,107,2,1,UTAH,"HANSEN, JAMES V.",2,3,5,1,0.400000006,3,UT,45,8,1,21,0,1,8/14/1932,68,0.234042555,34232,0.510266542,0.943629146,0.856000006,0.204999998,0.84335506,0.456521749,0.5,0.151162788,0.380434781,0.733333349,0.119999997,0.059999999,0.569999993,0.039999999,0.209999993,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1027,2001-2002,107,1,36,CALIFOR,"HARMAN, JANE",2,2,4,1,0.5,4,CA,5,9,0,7,1,1,6/28/1945,55,0.536842108,56567,0.501647115,0.777465165,0.866999984,0.368000001,0.999016821,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1028,2001-2002,107,2,4,PENNSYL,"HART, MELISSA",0,0,0,0,0,2,PA,39,2,1,1,1,1,4/4/1962,38,0.484536082,32011,0.532309353,0.962648809,0.774999976,0.152999997,0.673390567,0.423664123,0.419689119,0.172131151,0.475655437,0.673076928,0.479999989,0.270000011,0.01,0.059999999,0.180000007,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
